dorm_details,dorm_name,location
"{'Area': 'Sampaloc, Manila', 'Near': 'UST, UST High School, FEU, PRC, San Lazaro Hospital, Jose Reyes Memorial Medical Center, Fabella Hospital', 'Lease Term': 'Short or Long Term only', 'Type': 'Bed Spaces, Whole Units', '# of Beds': '2, 3, 4 beds', '# of Baths': 'Private with separate toilet and shower', 'Floor Area (sqm)': 'variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Official Website'}","Thomasian Residences Dormitory Sampaloc Near UST, FEU",Sampaloc
"{'Area': 'Sampaloc, Manila', 'Near': 'UST, UST Hospital, Perpetual Help College, Hospital of the Infant Jesus (HIJ), Dominican School, St. Jude College', 'Lease Term': 'Short or Long Term only', 'Type': 'Bed Spaces, Whole Units', '# of Beds': 'four or six beds', '# of Baths': 'Private with separate toilet and shower', 'Floor Area (sqm)': 'variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Official Website'}","Forbes Place Dormitory Sampaloc Near UST, Perpetual Help College",Sampaloc
"{'Area': 'Malate, Manila', 'Near': 'De La Salle University (DLSU), De La Salle-College of Saint Benilde, St. Scholastica’s Manila', 'Lease Term': 'Short or Long Term', 'Type': 'Condo unit', '# of Beds': 'double (2), quad (4)', '# of Baths': 'Private with separate toilet and shower stalls', 'Floor Area (sqm)': 'Variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Website'}","University Pad Residences Malate Dormitory Near DLSU, CSB",Malate
"{'Area': 'Malate, Manila', 'Near': 'De La Salle University (DLSU), De La Salle-College of Saint Benilde, St. Scholastica’s Manila', 'Lease Term': 'Short or Long Term', 'Type': 'Bedpaces (no solo or copule room)', '# of Beds': 'double (2), quad (4)', '# of Baths': 'Private with separate toilet and shower stalls', 'Floor Area (sqm)': 'Variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Facebook Page'}","Greyard Malate Dormitory Near DLSU, CSB",Malate
{},Unfurnished Condo in Binondo Near Chiang Kai Shek College,Binondo
"{'Area': 'Sampaloc, Manila', 'Near': 'UST, FEU, Dominican School, NU', 'Lease Term': 'Long Term only (at least 12 months)', 'Type': 'Bed Spaces, Whole Units', '# of Beds': 'four or six beds', '# of Baths': 'Private with separate toilet and shower', 'Floor Area (sqm)': 'variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Official Website'}","Athena Ladies Dormitory Sampaloc Near UST, NU, FEU",Sampaloc
"{'Area': 'Santa Mesa, Manila', 'Near': 'LRT Pureza Station, Jollibee, Polytechnic University of the Philippines (PUP), Euologio Rodriguez Institute Of Science & Technology, AMA, SM City Sta. Mesa', 'Lease Term': 'Short or Long Term', 'Type': 'Dormitory', '# of Beds': '2, 4, 6, 8', '# of Baths': 'Private Bathroom per Room', 'Floor Area (sqm)': 'Variable', 'Furnishing': 'Semi-Furnished', 'Contact Info': 'Website'}",Pureza Station Dormitory Santa Mesa Near PUP,Santa Mesa
"{'Area': 'Santa Mesa, Manila', 'Near': 'Polytechnic University of the Philippines (PUP), Lourdes Hospital, Makati Science Technological Institute of the Philippines, ', 'Lease Term': 'Short or Long Term', 'Type': 'Dormitory (Capsule Type)', '# of Beds': 'multiple', '# of Baths': 'Private Bathroom per Room', 'Floor Area (sqm)': 'Variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Website'}","Citihub Dormitory Santa Mesa Near PUP, Lourdes Hospital",Santa Mesa
"{'Area': 'Santa Mesa, Manila', 'Near': 'De Ocampo Memorial College, Polytechnic University of the Philippines (PUP), Eulogio “Amang” Rodriguez Institute of Science and Technology (Earist), AMA Manila and University belt schools', 'Lease Term': 'Short or Long Term', 'Type': 'Dormitory / Condo Units', '# of Beds': '1, 2, 3, 4, or 6', '# of Baths': 'Separate Toilet and Shower stalls per unit', 'Floor Area (sqm)': 'Variable', 'Furnishing': 'Fully-Furnished', 'Contact Info': 'Facebook Page'}","Luxor Residences Sta Mesa Near PUP, De Ocampo, EARIST",Santa Mesa
{},"1 Bedroom for Rent in Mezza Residences, Near UERM, PUP, CCP",Santa Mesa
